Skola;AlternativaNamn;numOfStudents;From;To;Url;Adress;Lat;Lon;Kommunal;studentsPerTeacher;
Sätra skola;Sätra;48;0;6;http://www.linkoping.se/satraskola;Sätra skola, 590 55 Sturefors;58.330475;15.7259;1;11;
T1-skolorna;T1;263;0;6;http://www.linkoping.se/t1skolorna;Fanjunkaregatan 3, Linköping;58.401852;15.603068;1;-;
Tallboda skola;;105;4;6;http://www.linkoping.se/Skola-barnomsorg/Grundskolor/Kommunala-grundskolor/Tallbodaskolan/Om-skolan/;Värdshusvägen 10, Linköping;58.428703;15.67977;1;9,9;
Tanneforsskolan;Tannefors;133;0;6;http://www.linkoping.se/tanneforsskolan;Nya Tanneforsvägen 78, Linköping;58.403326;15.645947;1;12,5;
Tokarpsskolan;Malmslättsskolan Tokarp;229;7;9;http://www.linkoping.se/malmslattsskolan-tokarp;Fårhagsvägen 142, Linköping;58.424544;15.507866;1;14,5;
Tornhagsskolan F-3;Tornhagen,Tornhagsskolan;167;0;3;http://www.linkoping.se/tornhagsskolan;Stenbrötsgatan 5, Linköping;58.412947;15.592823;1;16,3;
Tornhagsskolan 4-9;Tornhagen,Tornhagsskolan;393;4;9;http://www.linkoping.se/tornhagsskolan;Stenbrötsgatan 5, Linköping;58.412947;15.592823;1;12,5;
Trilobiten;Montessoriskolan Trilobiten;61;0;6;http://www.pysslingen.se/trilobiten/;Munkhagsgatan 160, Linköping;58.38899;15.674742;0;10,2;
Tunvalla;;63;0;3;http://www.linkoping.se/t1skolorna;Fanjunkaregatan 3, Linköping;58.401852;15.603068;1;18;
Vidingsjöskolan;Vidingsjö;300;0;6;http://www.linkoping.se/vidingsjoskolan;Tunngatan 13, Linköping;58.379979;15.648065;1;16,1;
Vikingstads skola;Vikingstad;258;0;6;http://www.linkoping.se/vikingstadskola;Mimergatan 13, Linköping;58.381557;15.43628;1;14,6;
Vist skola;Vist;249;0;6;http://www.linkoping.se/vistskola;Näckrosvägen, Sturefors;58.334339;15.7224;1;15,2;
Vittra i Lambohov;Vittra Lambohov;119;0;9;http://www.vittra.se/V%C3%A5raskolor/%C3%96straSverige/Lambohov.aspx;Tröskaregatan 73-75, Linköping;58.386251;15.565265;0;16,5;
Vreta kloster;Vreta kloster skola;209;0;6;http://www.linkoping.se/vretaklosterskola;Stjärnorpsvägen 1, Vreta Kloster;58.482771;15.523464;1;16,2;
Västerlösa;Västerlösa skola;47;4;6;;Maråsvägen 15, Vikingstad;58.420784;15.334837;1;9,8;
Ånestadsskolan F-6;Ånestad,Ånestadsskolan;166;0;6;http://www.linkoping.se/anestadsskolan;Häggvägen 17, Linköping;58.393171;15.650471;1;17,7;
Ånestadsskolan 7-9;Ånestad,Ånestadsskolan;380;7;9;http://www.linkoping.se/anestadsskolan;Häggvägen 17, Linköping;58.393171;15.650471;1;11,6;
Änggårdsskolan;Änggård;250;0;6;http://www.linkoping.se/anggardsskolan;Betesgatan 1, Linköping;58.3800272;15.5717716;1;14,3;
Örtomta;;59;0;3;http://www.linkoping.se/ortomtaskola;Örtomta skola, 585 62 Linghem;58.409451;15.849021;1;14,3;
